feature,mean_abs_shap
perplexity,0.039906254927022274
type_token_ratio,0.02445729446326733
punct_period_per100w,0.018629863078820464
hapax_ratio,0.01853771800279888
pos_prep,0.012192310656240279
avg_sentence_len,0.01182460722913573
punct_colon_per100w,0.01066302586546782
"trigram_.

",0.010533303243404334
trigram_and,0.009814294250022967
std_sentence_len,0.009644580118975257
fw_the,0.009502953325661036
pos_noun,0.009015519783990317
fw_and,0.008874025008418966
punct_comma_per100w,0.008691244623400762
trigram_to ,0.008554890830249004
fw_as,0.00801554392303718
fw_that,0.007213935622601953
trigram_ a ,0.007188976838014525
fw_to,0.00698941526447363
punct_semicolon_per100w,0.006206631931924733
trigram_tha,0.006201309497574025
trigram_he ,0.00605462644903668
flesch_kincaid_grade,0.0058443109311650575
pos_adv,0.0050419868010422985
trigram_nd ,0.004792959040962191
total_words,0.004551291718770907
trigram_at ,0.004514655145044311
trigram_the,0.004167647529462644
trigram_ to,0.0040718376493475055
fw_a,0.004016930342093054
trigram_hat,0.0036080848698904922
fw_an,0.003502604534091741
trigram_ th,0.0034582490892767115
"trigram_, a",0.003409924569187923
trigram_as ,0.0032286977613683113
trigram_ ha,0.0031448824704112966
pos_verb,0.003016173715452162
flesch_reading_ease,0.0029211523462367448
pos_conj,0.0028819033954759557
trigram_ an,0.0027609627018963766
trigram_ wh,0.0027090491750900686
trigram_e t,0.002500965600427913
punct_dash_per100w,0.0023412624277761853
pos_det,0.002055698689380263
pos_adj,0.0019608329943073617
avg_word_len,0.001774978175685598
trigram_d t,0.001744605881562663
fw_can,0.0017427012055796496
trigram_thi,0.0017234677517713732
trigram_ ca,0.0016223744308596435
fw_once,0.0016045636957092858
trigram_re ,0.001602578898896052
trigram_es ,0.0015894563673489756
trigram_n t,0.0015856518001080605
fw_in,0.001572222170345889
trigram_his,0.001563226377695285
trigram_or ,0.0015216194379150101
pos_pronoun,0.001512316690953435
fw_or,0.0015042036711425816
trigram_ co,0.0015006126014898654
fw_it,0.0014750484171313536
trigram_n a,0.0014696634422790593
trigram_ be,0.0014581981672162948
trigram_our,0.001446529159067715
trigram_on ,0.0013980875763585602
trigram_ in,0.0013869674239067496
trigram_ng ,0.001385866393928429
trigram_ly ,0.0013727538130910905
trigram_ se,0.0013492604856737093
trigram_an ,0.0012896385749429692
trigram_ it,0.0012795257651847115
trigram_ wi,0.0012675281052414512
trigram_ut ,0.0012452170283401161
trigram_ur ,0.001208559013532431
trigram_in ,0.0011887020086131278
fw_could,0.0011698950328391002
trigram_ st,0.0011522796886882752
trigram_e i,0.0011434145762533772
trigram_her,0.001093193627388985
trigram_ing,0.0010651903706875422
trigram_you,0.0010601831136559424
fw_have,0.0010388431940196723
trigram_ts ,0.0010213682341834213
trigram_ fo,0.0010105039928962496
